Game,Kind,ExactName,LocalFile,MeshId,Scale,RotationX,RotationY,RotationZ,Source,LicenseNote
Reel a Relic,Fish,Anchovy,reel-a-relic/fish/Anchovy.obj,121171092141963,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Fish,Mackerel,reel-a-relic/fish/Mackerel.obj,116221983997623,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Fish,Sea Bass,reel-a-relic/fish/Sea_Bass.obj,76445943452424,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Fish,Flounder,reel-a-relic/fish/Flounder.obj,79460045225568,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Fish,Red Snapper,reel-a-relic/fish/Red_Snapper.obj,119602273109627,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Fish,Seahorse,reel-a-relic/fish/Seahorse.obj,107490553351674,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Fish,Sailfish,reel-a-relic/fish/Sailfish.obj,120083050036774,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Fish,Kelp Bass,reel-a-relic/fish/Kelp_Bass.obj,108881124151455,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Fish,Garibaldi,reel-a-relic/fish/Garibaldi.obj,80242442828280,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Fish,Sheephead,reel-a-relic/fish/Sheephead.obj,113110118412598,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Fish,Moray Eel,reel-a-relic/fish/Moray_Eel.obj,91902901790397,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Fish,Leopard Shark,reel-a-relic/fish/Leopard_Shark.obj,110207492074425,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Fish,Giant Sea Bass,reel-a-relic/fish/Giant_Sea_Bass.obj,91447580894451,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Fish,Clownfish,reel-a-relic/fish/Clownfish.obj,133544582733593,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Fish,Parrotfish,reel-a-relic/fish/Parrotfish.obj,89971934030485,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Fish,Blue Tang,reel-a-relic/fish/Blue_Tang.obj,112484093307603,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Fish,Lionfish,reel-a-relic/fish/Lionfish.obj,134873942004405,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Fish,Reef Shark,reel-a-relic/fish/Reef_Shark.obj,85816007385693,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Fish,Manta Ray,reel-a-relic/fish/Manta_Ray.obj,78459337569713,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Fish,Hammerhead,reel-a-relic/fish/Hammerhead.obj,107405624201854,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Fish,Lanternfish,reel-a-relic/fish/Lanternfish.obj,127693954000676,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Fish,Hatchetfish,reel-a-relic/fish/Hatchetfish.obj,118729921338991,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Fish,Viperfish,reel-a-relic/fish/Viperfish.obj,131328733349835,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Fish,Gulper Eel,reel-a-relic/fish/Gulper_Eel.obj,108400062799188,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Fish,Anglerfish,reel-a-relic/fish/Anglerfish.obj,86978658342639,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Fish,Barreleye,reel-a-relic/fish/Barreleye.obj,97438542387533,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Fish,Oarfish,reel-a-relic/fish/Oarfish.obj,100572064963067,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Fish,Giant Isopod,reel-a-relic/fish/Giant_Isopod.obj,97381183399615,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Fish,Dumbo Octopus,reel-a-relic/fish/Dumbo_Octopus.obj,103956427559694,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Fish,Frilled Shark,reel-a-relic/fish/Frilled_Shark.obj,78516639977769,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
Reel a Relic,Fish,Goblin Shark,reel-a-relic/fish/Goblin_Shark.obj,74063279991811,1.0,0,0,0,Included original low-poly OBJ,No third-party geometry bundled
